name,developer,percent_positive,num_reviews,multiplayer,mature
DOOM,id Software,92.0,42550.0,True,False
PLAYERUNKNOWN'S BATTLEGROUNDS,PUBG Corporation,49.0,836608.0,True,True
BATTLETECH,Harebrained Schemes,71.0,7030.0,True,False
DayZ,Bohemia Interactive,61.0,167115.0,True,False
EVE Online,CCP,74.0,11481.0,True,False
Grand Theft Auto V: Premium Online Edition,Rockstar North,66.0,102679.0,True,False
Devil May Cry 5,"CAPCOM Co., Ltd.",92.0,9645.0,True,True
Human: Fall Flat,No Brakes Games,91.0,23763.0,True,False
They Are Billions,Numantian Games,85.0,12127.0,False,False
Warhammer: Chaosbane,Eko Software,44.0,904.0,True,True
For The King,IronOak Games,83.0,4600.0,True,False
Danganronpa V3: Killing Harmony,"Spike Chunsoft Co., Ltd.",84.0,3547.0,False,False
TERA,"Bluehole, Inc.",78.0,14184.0,True,True
Call of Duty®: Modern Warfare® Remastered,"Raven Software,Beenox",51.0,1118.0,True,False
Stonehearth,Radiant Entertainment,75.0,5484.0,True,False
Hearts of Iron IV: Mobilization Pack,Paradox Development Studio,72.0,1003.0,True,False
Clone Drone in the Danger Zone,Doborog Games,94.0,1901.0,True,False
GOD EATER 3,BANDAI NAMCO Studios Inc.,77.0,1945.0,True,False
War Robots,Pixonic,44.0,1797.0,True,False
Halo Wars: Definitive Edition,"Ensemble Studios,Behaviour Interactive,343 Industries",88.0,2442.0,True,False
Call of Duty®: Black Ops,Treyarch,84.0,4190.0,True,False
Phoenix Wright: Ace Attorney Trilogy / 逆転裁判123 成歩堂セレクション,"CAPCOM Co., Ltd.",97.0,382.0,False,False
Team Sonic Racing™,Sumo Digital,70.0,487.0,True,False
Titan Quest Anniversary Edition,"Iron Lore Entertainment,THQ Nordic",90.0,9757.0,True,False
Grand Theft Auto IV,"Rockstar North,Rockstar Toronto",63.0,43799.0,True,False
Portal Bundle,Valve,93.0,7667.0,False,False
Portal,Valve,97.0,40424.0,False,False
Viscera Cleanup Detail,RuneStorm,92.0,5414.0,True,False
Neverwinter Nights: Enhanced Edition,Beamdog,74.0,1094.0,True,False
Ni no Kuni™ II: Revenant Kingdom,Level-5,81.0,2701.0,False,False
Tree of Savior (English Ver.),"IMCGAMES Co.,Ltd.",60.0,15461.0,False,False
Hellblade: Senua's Sacrifice,Ninja Theory,91.0,21022.0,False,True
Danganronpa 2: Goodbye Despair,"Spike Chunsoft Co., Ltd.,Abstraction Games",96.0,4612.0,False,False
Yakuza 0,SEGA,87.0,8128.0,True,True
The Escapists 2,"Team17 Digital Ltd,Mouldy Toof Studios",81.0,5252.0,True,False
"Star Wars: Battlefront 2 (Classic, 2005)",Pandemic Studios,91.0,27397.0,True,False
Wizard101,KingsIsle Entertainment,68.0,805.0,True,False
Life is Strange 2,DONTNOD Entertainment,86.0,4437.0,False,True
Kingdoms of Amalur: Reckoning™,"Big Huge Games,38 Studios",87.0,8950.0,False,False
Doom Classic Complete,id Software,82.0,3109.0,True,False
"Warhammer 40,000: Dawn of War II: Retribution","Relic Entertainment,Feral Interactive (Mac/Linux)",53.0,6921.0,True,False
GOD WARS The Complete Legend,"KADOKAWA GAMES, LTD",100.0,11.0,False,False
Counter-Strike: Source,Valve,95.0,45829.0,True,True
The Evil Within,Tango Gameworks,80.0,7855.0,False,False
The Binding of Isaac: Rebirth Complete Bundle,"Nicalis, Inc.",84.0,43396.0,True,False
Bright Memory(Early Access) / 光明记忆,FYQD-Studio,93.0,7779.0,False,True
STAR WARS™ Empire at War - Gold Pack,Petroglyph,94.0,5997.0,True,False
Dishonored®: Death of the Outsider™,Arkane Studios,82.0,2396.0,False,False
Street Fighter V,Capcom,52.0,9007.0,True,False
The Jackbox Party Pack 2,"Jackbox Games, Inc.",94.0,417.0,True,False
Armored Battle Crew [World War 1] - Tank Warfare and Crew Management Simulator,Gattai Games,80.0,88.0,False,True
Battlefleet Gothic: Armada 2,Tindalos Interactive,72.0,1731.0,True,True
RUNNING WITH RIFLES,Osumia Games,87.0,5090.0,True,False
The Witcher: Enhanced Edition Director's Cut,CD PROJEKT RED,85.0,28082.0,False,False
Middle-earth™: Shadow of War™,Monolith Productions,77.0,16973.0,False,True
Forts,EarthWork Games,79.0,1786.0,True,False
The Lord of the Rings Online™,"Standing Stone Games, LLC",80.0,8597.0,False,False
Stellaris: Ascension Pack,Paradox Development Studio,67.0,583.0,True,False
Dungeon Munchies,maJAJa,98.0,561.0,False,False
Grand Theft Auto IV: Complete Edition,"Rockstar North,Rockstar Toronto",67.0,135319.0,True,False
Pillars of Eternity,Obsidian Entertainment,84.0,8015.0,False,False
Graveyard Keeper,Lazy Bear Games,75.0,5694.0,False,True
The Elder Scrolls®: Legends™,"Sparkypants Studios, LLC",71.0,7557.0,True,False
RESIDENT EVIL 2 / BIOHAZARD RE:2 Deluxe Edition,"CAPCOM Co., Ltd.",94.0,5042.0,False,False
Northgard,Shiro Games,83.0,12784.0,True,False
Realm Royale,Heroic Leap Games,64.0,27708.0,True,False
Sid Meier’s Civilization VI Gold Edition,Firaxis Games,66.0,10158.0,True,False
Gang Beasts,Boneloaf,69.0,16225.0,True,False
Age of Empires Legacy Bundle,Ensemble Studios,87.0,13202.0,True,False
Total War: MEDIEVAL II – Definitive Edition,"CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux)",93.0,7674.0,True,False
Tales of Vesperia: Definitive Edition,"QLOC,BANDAI NAMCO Studios Inc.",86.0,479.0,True,False
FINAL FANTASY X/X-2 HD Remaster,Square Enix,89.0,6100.0,False,False
Return of the Obra Dinn,Lucas Pope,96.0,4030.0,False,True
Castle Crashers®,The Behemoth,96.0,37698.0,True,False
FINAL FANTASY XV EPISODE ARDYN COMPLETE EDITION,Square Enix,77.0,5234.0,True,False
Call of Duty®: WWII,"Sledgehammer Games,Raven Software",54.0,12703.0,True,True
MudRunner,Saber Interactive,82.0,6311.0,False,False
Keep Talking and Nobody Explodes,Steel Crate Games,98.0,4809.0,True,False
SPORE™,Maxis™,87.0,15680.0,False,False
Contra Anniversary Collection,Konami Digital Entertainment,71.0,35.0,True,False
Fishing Planet,Fishing Planet LLC,76.0,14138.0,True,False
Grand Theft Auto V: Premium Online Edition & Great White Shark Card Bundle,Rockstar North,68.0,93069.0,True,False
Just Cause™ 3,Avalanche Studios,73.0,37858.0,False,False
BioShock Infinite,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",95.0,59252.0,False,False
Men of War: Assault Squad 2,Digitalmindsoft,84.0,10495.0,True,False
Dungeons & Dragons Online®,"Standing Stone Games, LLC",70.0,2454.0,False,False
NecroDancer ULTIMATE PACK,Brace Yourself Games,62.0,721.0,False,False
JUMP FORCE,"Spike Chunsoft Co., Ltd.",55.0,2677.0,True,False
Desert Skies,White_Rabbit_Games,86.0,51.0,False,False
Ring of Elysium,Aurora Studio,74.0,54938.0,True,True
Super Neptunia RPG / 勇者ネプテューヌ /勇者戰幾少女,Artisan Studios,82.0,147.0,False,False
METAL GEAR SOLID V: THE PHANTOM PAIN,Konami Digital Entertainment,88.0,27036.0,True,False
TEKKEN 7,BANDAI NAMCO Studios Inc.,81.0,12948.0,True,False
Golf It!,Perfuse Entertainment,80.0,3348.0,True,False
Shadow Tactics: Blades of the Shogun,Mimimi Productions,95.0,7238.0,False,True
Heroes & Generals,RETO MOTO,65.0,101309.0,True,False
Ultimate Doom,id Software,93.0,3511.0,False,False
GORN,Free Lives,96.0,3286.0,False,True
DRAGON BALL FighterZ,Arc System Works,82.0,8966.0,True,False
Fantasy Grounds,"SmiteWorks USA, LLC",75.0,381.0,True,False
DRAGON BALL XENOVERSE 2,"QLOC,DIMPS",78.0,9192.0,True,False
Frostpunk,11 bit studios,86.0,22352.0,False,False
Stellaris: Starter Pack,Paradox Development Studio,67.0,548.0,True,False
Universe Sandbox ²,Giant Army,93.0,5507.0,False,False
Shadowverse CCG,"Cygames, Inc.",73.0,7712.0,True,False
Tyranny -  Gold Edition,Obsidian Entertainment,61.0,2652.0,False,False
Cities: Skylines - New Player Bundle,Colossal Order Ltd.,84.0,434.0,False,False
Fable Anniversary,Lionhead Studios,77.0,4586.0,False,False
Baldur's Gate II: Enhanced Edition,Beamdog,85.0,2720.0,True,False
Freestyle 2: Street Basketball,Joycity,72.0,8097.0,True,False
PC Building Simulator,"Claudiu Kiss,The Irregular Corporation",88.0,6807.0,False,False
Battle Brothers,Overhype Studios,86.0,5939.0,False,False
The Surge,Deck13,74.0,3174.0,False,False
Total War Saga: THRONES OF BRITANNIA,"CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux)",55.0,4915.0,True,False
Assetto Corsa Ultimate Edition,Kunos Simulazioni,84.0,1295.0,True,False
Parkitect,Texel Raptor,89.0,1589.0,False,False
Between the Stars,Isolated Games,82.0,245.0,False,False
ShellShock Live,kChamp Games,89.0,10687.0,True,False
Endless Legend™,AMPLITUDE Studios,82.0,9773.0,True,False
Cities: Skylines - Campus Plus Edition,Colossal Order Ltd.,73.0,121.0,False,False
Devolver Bootleg,doinksoft,95.0,340.0,False,True
DiRT Rally 2.0,Codemasters,64.0,1196.0,True,False
Attack on Titan 2 - A.O.T.2 - 進撃の巨人２,"KOEI TECMO GAMES CO., LTD.",84.0,644.0,True,False
Warface,MY.GAMES,69.0,47716.0,True,False
Assassin's Creed® Origins,Ubisoft Montreal,83.0,33278.0,False,False
House Party,"Eek! Games, LLC",84.0,3858.0,False,True
Empyrion - Galactic Survival,Eleon Game Studios,80.0,12121.0,True,False
WWE 2K19,"Visual Concepts,Yuke's Co., LTD",59.0,897.0,True,False
Dragon's Dogma: Dark Arisen,Capcom,87.0,10683.0,False,False
"Warhammer 40,000: Gladius - Relics of War",Proxy Studios,77.0,1147.0,True,False
Scrap Mechanic,Axolot Games,84.0,16220.0,True,False
Generation Zero,Avalanche Publishing,45.0,2684.0,True,False
Total War: ATTILA,CREATIVE ASSEMBLY,73.0,11602.0,True,False
Dead by Daylight + Deathgarden,Behaviour Digital Inc.,73.0,51728.0,True,False
Prison Architect,Introversion Software,93.0,28180.0,True,False
Dying Light Ultimate Collection,Techland,70.0,601.0,True,False
Eco,Strange Loop Games,71.0,2033.0,True,False
Thief Simulator,Noble Muffins,77.0,2335.0,False,False
Bloons TD 6,Ninja Kiwi,68.0,862.0,False,False
DUSK,David Szymanski,97.0,3452.0,True,False
Ori and the Blind Forest,Moon Studios GmbH,96.0,24439.0,False,False
Wizard of Legend,Contingent99,88.0,3970.0,False,False
MapleStory 2,Nexon Korea Corporation,74.0,7088.0,True,False
The Jackbox Party Pack 4,"Jackbox Games, Inc.",81.0,278.0,True,False
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,SANDLOT,95.0,3686.0,True,False
Cities: Skylines Collection,Colossal Order Ltd.,80.0,239.0,False,False
Steam Controller,Dewdrop Games,73.0,7942.0,True,False
Two Point Hospital,Two Point Studios,83.0,5255.0,False,False
The Universim,Crytivo,73.0,1656.0,False,False
Sniper Elite 4,Rebellion,85.0,11168.0,True,False
Divinity: Original Sin - Enhanced Edition,Larian Studios,88.0,9328.0,True,False
Automation - The Car Company Tycoon Game,Camshaft Software,82.0,1568.0,False,False
Call of Duty®: Modern Warfare® 3,"Infinity Ward,Sledgehammer Games,Aspyr (Mac)",82.0,2681.0,True,False
SCUM,"Gamepires,Croteam",64.0,22177.0,True,True
Reventure,Pixelatto,94.0,617.0,False,True
Job Simulator,Owlchemy Labs,83.0,823.0,False,False
Watch_Dogs® 2,Ubisoft,78.0,24747.0,False,False
Town of Salem,BlankMediaGames,86.0,13158.0,True,False
VEGA Conflict,KIXEYE,52.0,2827.0,True,False
Foundation,Polymorph Games,74.0,1546.0,False,False
Shadow of the Tomb Raider,"Eidos-Montréal,Crystal Dynamics,Nixxes software",74.0,9220.0,False,True
Golf With Your Friends,Blacklight Interactive,89.0,13457.0,True,False
The Witcher 2: Assassins of Kings Enhanced Edition,CD PROJEKT RED,88.0,35412.0,False,False
ARK: Survival Evolved Explorer's Edition,Studio Wildcard,71.0,58326.0,True,False
The Elder Scrolls IV: Oblivion® Game of the Year Edition,Bethesda Game Studios,94.0,11784.0,False,False
Company of Heroes 2,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",74.0,27873.0,True,False
PlanetSide 2,Daybreak Game Company,81.0,44454.0,True,False
Rocksmith® 2014 Edition - Remastered,Ubisoft - San Francisco,89.0,4582.0,False,False
Naval Action,Game-Labs,59.0,4179.0,True,False
theHunter: Call of the Wild™ - 2019 Edition,Expansive Worlds,75.0,11202.0,True,False
ACE COMBAT™ 7: SKIES UNKNOWN,BANDAI NAMCO Studios,73.0,4786.0,True,False
Vacation Simulator,Owlchemy Labs,86.0,137.0,False,False
PAYDAY 2: Ultimate Edition,OVERKILL - a Starbreeze Studio.,79.0,512.0,True,False
Baldur's Gate: Enhanced Edition,Beamdog,85.0,4292.0,True,False
The Golf Club™ 2019 featuring PGA TOUR,HB Studios Multimedia Ltd.,57.0,364.0,True,False
Far Cry® 5,"Ubisoft Montreal,Red Storm,Ubisoft Shanghai,Ubisoft Toronto,Ubisoft Kiev",67.0,31338.0,True,False
Pummel Party,Rebuilt Games,82.0,1571.0,True,False
Idle Champions of the Forgotten Realms,Codename Entertainment Inc.,80.0,3738.0,False,False
The Isle,Afterthought LLC,69.0,10033.0,True,False
iRacing,"iRacing.com Motorsport Simulations,iRacing",77.0,363.0,True,False
Steel Division 2,Eugen Systems,71.0,1714.0,True,False
"Hot Dogs, Horseshoes & Hand Grenades",RUST LTD.,96.0,3181.0,False,False
Crush Crush,Sad Panda Studios,87.0,8410.0,False,True
Call of Duty®: Black Ops II,Treyarch,82.0,9096.0,True,False
Undertale,tobyfox,95.0,87700.0,False,False
The Evil Within 2,Tango Gameworks,90.0,5271.0,False,False
Project CARS 2,Slightly Mad Studios,71.0,3746.0,True,False
Total War: SHOGUN 2,"CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux)",72.0,280.0,True,False
FINAL FANTASY VII,Square Enix,92.0,10938.0,False,False
Euro Truck Simulator 2,SCS Software,96.0,132814.0,False,False
Endless Space® 2,AMPLITUDE Studios,81.0,7583.0,True,False
BATTALION 1944: First To Fight Edition,Bulkhead Interactive,62.0,4518.0,True,False
Beat Saber - Game + Imagine Dragons Music Pack,Beat Games,55.0,2397.0,False,False
Stick Fight: The Game,Landfall West,89.0,23264.0,True,False
Fell Seal: Arbiter's Mark,6 Eyes Studio,92.0,725.0,False,False
Out of the Park Baseball 20,Out of the Park Developments,91.0,184.0,False,False
Project Winter,Other Ocean Interactive,75.0,401.0,True,True
Dishonored,Arkane Studios,96.0,31375.0,False,False
Assetto Corsa,Kunos Simulazioni,86.0,14923.0,True,False
My Friend Pedro,DeadToast Entertainment,83.0,2281.0,False,True
Trove,Trion Worlds,77.0,62025.0,True,False
My Time At Portia,Pathea Games,90.0,10245.0,False,False
Fallout 4 VR,Bethesda Game Studios,70.0,2407.0,False,False
Enter the Gungeon,Dodge Roll,94.0,24391.0,False,False
NecroDancer AMPLIFIED PACK,Brace Yourself Games,62.0,726.0,False,False
Arizona Sunshine,"Vertigo Games,Jaywalkers Interactive",85.0,3248.0,True,False
Age of Mythology: Extended Edition,"SkyBox Labs,Ensemble Studios",85.0,9138.0,True,False
Football Manager 2019,Sports Interactive,71.0,2566.0,True,False
FINAL FANTASY XV WINDOWS EDITION,Square Enix,77.0,12902.0,True,False
Gold Rush: The Game,Code Horizon,62.0,4598.0,False,False
Jump King,Nexile,87.0,102.0,False,False
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,Bethesda Game Studios®,92.0,10655.0,False,False
Train Simulator 2019,Dovetail Games,62.0,9340.0,False,False
Deep Ocean Bundle,Unknown Worlds Entertainment,61.0,86.0,False,False
Just Shapes & Beats,Berzerk Studio,96.0,2124.0,True,False
Call of Duty: World at War,Treyarch,92.0,17438.0,True,False
Dishonored: Death of the Outsider - Deluxe Bundle,Arkane Studios,67.0,1342.0,False,False
Killing Floor 2,Tripwire Interactive,89.0,46412.0,True,False
SpellForce 3: Soul Harvest,Grimlore Games,87.0,291.0,True,True
Slime Rancher,Monomi Park,96.0,21366.0,False,False
MapleStory,Nexon,67.0,5387.0,True,False
KovaaK's FPS Aim Trainer,KvK Games,92.0,703.0,False,False
Mount & Blade: Warband,TaleWorlds Entertainment,97.0,59100.0,True,False
World of Tanks Blitz MMO,Wargaming Group Limited,70.0,20835.0,True,False
Rising Storm 2: Vietnam,"Antimatter Games,Tripwire Interactive",80.0,15667.0,True,True
Stormworks: Build and Rescue,Sunfire Software,87.0,1686.0,True,False
Far Cry® New Dawn,"Ubisoft Montreal,Ubisoft Kiev,Ubisoft Shanghai",69.0,3692.0,False,True
Don't Starve,Klei Entertainment,96.0,49909.0,False,False
Eastshade,Eastshade Studios,85.0,679.0,False,False
Zero Caliber VR,XREAL Games,80.0,620.0,True,True
Conan Exiles - Year 1 DLC Bundle,Funcom,70.0,1113.0,True,False
Sid Meier's Civilization V: Complete,Firaxis Games,86.0,573.0,True,False
World War 3,The Farm 51,63.0,12384.0,True,True
Call of Duty®: Modern Warfare® 2,"Infinity Ward,Aspyr (Mac)",89.0,14567.0,True,False
Neverwinter,Cryptic Studios,77.0,24131.0,True,False
The Binding of Isaac: Rebirth,"Nicalis, Inc.",97.0,63149.0,False,False
UNO,Ubisoft Entertainment,57.0,4174.0,True,False
A Hat in Time - Ultimate Edition,Gears for Breakfast,98.0,1148.0,True,False
Age of Empires® III: Complete Collection,Ensemble Studios,87.0,13207.0,True,False
The Jackbox Party Pack 5,"Jackbox Games, Inc.",78.0,252.0,True,False
Knights of Pen and Paper 2,Kyy Games,85.0,956.0,False,False
Dishonored: Complete Collection,Arkane Studios,74.0,4829.0,False,False
Dawn of Man,Madruga Works,79.0,3526.0,False,False
Baba Is You,Hempuli Oy,97.0,1521.0,False,False
House & Garden Flipper Bundle,Empyrean,77.0,8624.0,False,False
Microsoft Flight Simulator X: Steam Edition,Microsoft Game Studios,78.0,9782.0,True,False
ASTRONEER,System Era Softworks,84.0,30161.0,False,False
Hollow Knight,Team Cherry,95.0,37382.0,False,False
Kingdoms and Castles,"Lion Shield, LLC",85.0,7419.0,False,False
Tyranny,Obsidian Entertainment,85.0,5361.0,False,False
House Cooking Bundle!,Empyrean,78.0,8805.0,False,False
XCOM® 2,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",80.0,23516.0,True,False
Elite Dangerous,Frontier Developments,68.0,28383.0,True,False
Realm of the Mad God,"Wild Shadow Studios,Deca Games",83.0,28359.0,True,False
Pillars of Eternity II: Deadfire,Obsidian Entertainment,81.0,3494.0,False,True
Portal 2,Valve,98.0,104354.0,False,False
Oxygen Not Included,Klei Entertainment,93.0,17415.0,False,False
Jurassic World Evolution,Frontier Developments,70.0,13041.0,False,False
BeamNG.drive,BeamNG,89.0,13523.0,False,False
MORDHAU Supporter Bundle,Triternion,78.0,3186.0,True,False
DCS World Steam Edition,Eagle Dynamics SA,76.0,6779.0,True,False
Blaster Master Zero,"INTI CREATES CO., LTD.",100.0,28.0,True,False
Forager,HopFrog,87.0,3375.0,False,False
The Jackbox Party Pack 3,"Jackbox Games, Inc.",94.0,710.0,True,False
Wolfenstein: The Two Pack,Machine Games,78.0,13248.0,False,False
Albion Online,Sandbox Interactive GmbH,54.0,4745.0,True,False
DARK SOULS™ II,"FromSoftware, Inc",87.0,21539.0,True,False
Total War™: ROME II - Emperor Edition,CREATIVE ASSEMBLY,76.0,22009.0,True,False
Car Mechanic Simulator 2018,Red Dot Games,76.0,11388.0,False,False
NieR:Automata™,"Square Enix,PlatinumGames Inc.",82.0,32562.0,False,False
Pavlov VR,davevillz,89.0,3435.0,True,True
Left 4 Dead 2,Valve,96.0,156890.0,True,True
Yu-Gi-Oh! Duel Links,Konami Digital Entertainment,75.0,10993.0,True,False
Katana ZERO,Askiisoft,97.0,4028.0,False,True
Darkest Dungeon®,Red Hook Studios,85.0,42821.0,False,False
Vampire: The Masquerade - Bloodlines,Troika Games,93.0,5844.0,False,False
Wreckfest,Bugbear,77.0,9124.0,True,False
SUPERHOT VR,SUPERHOT Team,88.0,2100.0,False,False
Conqueror's Blade,Booming Games,46.0,2029.0,True,False
Kenshi,Lo-Fi Games,88.0,10227.0,False,True
RESIDENT EVIL 2 / BIOHAZARD RE:2,"CAPCOM Co., Ltd.",95.0,14492.0,False,True
HITMAN™ 2,IO Interactive A/S,86.0,4357.0,True,True
Minion Masters,BetaDwarf,90.0,20699.0,True,False
Crossout,Targem Games,66.0,19157.0,True,False
Kingdom Come: Deliverance Royal Edition,Warhorse Studios,90.0,116.0,False,False
The Sims™ 3,The Sims Studio,81.0,12778.0,False,False
Subnautica,Unknown Worlds Entertainment,94.0,87871.0,False,False
